epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,68.5498,1.38816,4.92483,1.47187,0.01371,0.05449,0.01135,0.00971,0.95982,4.72315,1.05007,5.15738e-05,5.15738e-05,5.15738e-05
2,117.669,0.91508,4.59918,1.07843,0.0153,0.248,0.01982,0.01747,0.82869,4.1989,0.95349,0.000102548,0.000102548,0.000102548
3,166.026,0.80062,4.26267,1.00613,0.02016,0.21718,0.03524,0.03162,0.76473,3.77347,0.93653,0.000152493,0.000152493,0.000152493
4,214.264,0.78523,3.99154,0.99258,0.42383,0.08686,0.06293,0.05551,0.75312,3.48867,0.93431,0.000151367,0.000151367,0.000151367
5,261.945,0.75587,3.69036,0.98968,0.42574,0.13089,0.10432,0.09126,0.7249,3.15317,0.92796,0.000149822,0.000149822,0.000149822
6,309.646,0.75571,3.43586,0.98948,0.49802,0.12571,0.1386,0.11935,0.74398,2.94566,0.93626,0.000148278,0.000148278,0.000148278
7,356.994,0.74108,3.19491,0.9839,0.51421,0.17609,0.1805,0.15477,0.73338,2.72814,0.92239,0.000146734,0.000146734,0.000146734
8,404.657,0.73645,2.94227,0.98966,0.52437,0.20881,0.22352,0.19422,0.71593,2.48383,0.91566,0.000145189,0.000145189,0.000145189
9,452.27,0.71398,2.75739,0.98248,0.54394,0.22994,0.25205,0.2185,0.70386,2.38061,0.9157,0.000143645,0.000143645,0.000143645
10,499.483,0.71451,2.57096,0.98113,0.37181,0.33291,0.29076,0.24956,0.71614,2.25039,0.92838,0.0001421,0.0001421,0.0001421
11,546.858,0.71637,2.44528,0.98483,0.46547,0.3678,0.34582,0.29802,0.69225,2.05138,0.91667,0.000140556,0.000140556,0.000140556
12,594.962,0.69507,2.31404,0.96833,0.41317,0.40721,0.36987,0.32155,0.67647,1.9759,0.91031,0.000139012,0.000139012,0.000139012
13,643.479,0.68717,2.16384,0.97885,0.55283,0.39187,0.40562,0.34846,0.68481,1.86276,0.9067,0.000137467,0.000137467,0.000137467
14,692.005,0.69264,2.10074,0.96699,0.47818,0.47929,0.44628,0.38727,0.65586,1.7318,0.89547,0.000135923,0.000135923,0.000135923
15,740.366,0.65346,1.96842,0.96014,0.55554,0.42525,0.45934,0.39705,0.66569,1.71956,0.89475,0.000134378,0.000134378,0.000134378
16,788.713,0.66706,1.94603,0.96503,0.45233,0.53708,0.50368,0.4315,0.67798,1.6082,0.90342,0.000132834,0.000132834,0.000132834
17,836.932,0.66888,1.8774,0.96119,0.56259,0.49238,0.52544,0.45307,0.64655,1.55272,0.89025,0.00013129,0.00013129,0.00013129
18,885.299,0.64587,1.77559,0.96489,0.60031,0.51911,0.53684,0.45985,0.67496,1.53223,0.90142,0.000129745,0.000129745,0.000129745
19,933.35,0.64236,1.75306,0.95292,0.624,0.54203,0.57329,0.49247,0.65502,1.47837,0.89689,0.000128201,0.000128201,0.000128201
20,983.219,0.63039,1.66822,0.952,0.56854,0.5646,0.58263,0.49896,0.66582,1.44186,0.89885,0.000126656,0.000126656,0.000126656
21,1031.68,0.62795,1.61701,0.94767,0.59696,0.6147,0.61099,0.52137,0.66994,1.38466,0.90321,0.000125112,0.000125112,0.000125112
22,1080.36,0.61624,1.60982,0.94426,0.61258,0.59384,0.61467,0.52653,0.63901,1.35599,0.88694,0.000123568,0.000123568,0.000123568
23,1129.33,0.62747,1.56678,0.94781,0.60121,0.57006,0.62792,0.53868,0.65757,1.35449,0.89254,0.000122023,0.000122023,0.000122023
24,1178.07,0.60297,1.50996,0.94464,0.57769,0.65792,0.66994,0.57345,0.65294,1.26387,0.89434,0.000120479,0.000120479,0.000120479
25,1226.93,0.61398,1.4674,0.94095,0.5573,0.68738,0.65618,0.56731,0.63525,1.26746,0.88666,0.000118934,0.000118934,0.000118934
26,1275.55,0.59332,1.42667,0.93661,0.6072,0.66725,0.67767,0.58154,0.65283,1.21896,0.89834,0.00011739,0.00011739,0.00011739
27,1323.86,0.60473,1.39805,0.9378,0.65097,0.66411,0.6846,0.59007,0.63897,1.2047,0.89478,0.000115846,0.000115846,0.000115846
28,1371.98,0.60942,1.38387,0.94426,0.59481,0.68374,0.68553,0.58906,0.65438,1.18125,0.89873,0.000114301,0.000114301,0.000114301
29,1421.39,0.58845,1.34893,0.93372,0.58723,0.71492,0.69984,0.60105,0.63603,1.15908,0.89461,0.000112757,0.000112757,0.000112757
30,1469.53,0.5857,1.31131,0.93138,0.57175,0.73404,0.70832,0.6065,0.64404,1.13495,0.88866,0.000111212,0.000111212,0.000111212
31,1516.9,0.57389,1.28503,0.92667,0.6431,0.70256,0.71165,0.61423,0.62151,1.10224,0.88181,0.000109668,0.000109668,0.000109668
32,1565.99,0.57847,1.27503,0.92681,0.62457,0.71933,0.70353,0.60706,0.62881,1.13799,0.88816,0.000108124,0.000108124,0.000108124
33,1614.16,0.56221,1.22294,0.92193,0.65423,0.70987,0.72077,0.62207,0.63012,1.11978,0.88875,0.000106579,0.000106579,0.000106579
34,1661.78,0.58015,1.25368,0.92645,0.61481,0.73615,0.74317,0.64626,0.62305,1.06494,0.88429,0.000105035,0.000105035,0.000105035
35,1709.84,0.56848,1.19563,0.9261,0.62733,0.74161,0.74165,0.6375,0.63038,1.07789,0.88509,0.00010349,0.00010349,0.00010349
36,1757.64,0.56526,1.19779,0.92199,0.67246,0.70241,0.74603,0.646,0.61612,1.04729,0.88007,0.000101946,0.000101946,0.000101946
37,1805.64,0.57454,1.18238,0.92032,0.7065,0.70799,0.76015,0.65897,0.61067,1.05178,0.88132,0.000100402,0.000100402,0.000100402
38,1853.72,0.56906,1.16351,0.92209,0.67964,0.74304,0.74503,0.6422,0.62587,1.04555,0.88985,9.88572e-05,9.88572e-05,9.88572e-05
39,1901.89,0.56682,1.14429,0.91613,0.67765,0.76427,0.76992,0.66502,0.61864,1.0068,0.88039,9.73128e-05,9.73128e-05,9.73128e-05
40,1949.66,0.56306,1.12654,0.90767,0.74709,0.71844,0.76915,0.66083,0.63376,1.0031,0.88434,9.57684e-05,9.57684e-05,9.57684e-05
41,1997.11,0.55842,1.12397,0.91556,0.6926,0.73499,0.76874,0.66299,0.61195,0.97649,0.88267,9.4224e-05,9.4224e-05,9.4224e-05
42,2044.75,0.55398,1.08768,0.9128,0.7035,0.71006,0.76524,0.66402,0.6103,1.00715,0.87754,9.26796e-05,9.26796e-05,9.26796e-05
43,2091.79,0.57152,1.10431,0.90846,0.67036,0.77155,0.76825,0.66476,0.60863,0.99181,0.87578,9.11352e-05,9.11352e-05,9.11352e-05
